"tumorMean"	"controlMean"	"tumorsd"	"controlsd"	"pvals3"
"hsa-miR-629-3p"	6.340984	1.8731779	3.80350445904915	0.949182373119188	0.0000000000692375158011563
"hsa-miR-142-3p"	3713.71315468	751.03249466	2535.48120776799	651.713337162981	0.0000000000818925300103354
"hsa-let-7i-5p"	480.25975666	235.52212728	204.831674472251	96.9785141382563	0.000000000085973535743216
"hsa-miR-188-5p"	2.27415062	6.94091896	2.76549902227511	3.55616370774748	0.0000000000872863603165672
"hsa-miR-7-1-3p"	22.93513736	11.39225068	9.8180363165726	3.91551456237277	0.0000000000978806981027518
"hsa-miR-141-5p"	3.951147	67.22947864	13.6174629323424	54.6224631430139	0.000000000105025496753705
"hsa-miR-30a-5p"	112779.4859948	173291.983316	50363.6600485709	28716.5960003689	0.000000000149222792614517
"hsa-miR-429"	18.82244832	110.79786652	12.9829160974365	80.7803012094277	0.000000000162877038370867
"hsa-miR-30a-3p"	40911.7651972	63360.5406952	16998.2625221329	14364.005726078	0.000000000190085591407108
"hsa-miR-501-3p"	67.36787574	130.83539506	44.5854796855665	45.372063333151	0.000000000247601149592900
"hsa-miR-592"	30.59466706	3.0181314	24.6116561017522	1.89093857430292	0.000000000251641225969617
"hsa-miR-129-1-3p"	0.02661942	1.88970154	0.119666167916074	1.66486734468585	0.000000000260523394686731
"hsa-miR-1271-5p"	10.09344916	3.71459132	5.65636198764566	1.75441864045372	0.00000000026074508722823
"hsa-miR-30b-5p"	398.61301774	1241.25372008	233.655452730925	762.54633998279	0.000000000468245719162964
"hsa-miR-502-3p"	11.17987364	21.31840366	7.36012734008007	7.32311512970399	0.000000000505002428460704
"hsa-miR-17-3p"	119.36422976	79.28027312	35.6073818884678	16.5359666697867	0.000000000524277273911189
"hsa-miR-452-5p"	70.79550862	14.61381444	51.6234643558122	7.25069937860992	0.000000000576248379324856
"hsa-let-7b-3p"	32.91828606	21.06347796	10.0102940797472	6.88730367089132	0.000000000806386371469913
"hsa-miR-214-3p"	1.79607016	5.92530472	2.32950748117211	3.57904484987236	0.0000000011984170855928
"hsa-miR-3127-5p"	3.51278088	1.51392118	1.65894587547677	1.32525651371481	0.0000000018942741361178
"hsa-miR-27b-5p"	14.9998405	22.28899692	6.01219567204185	4.88906362604843	0.00000000189836484019055
"hsa-miR-433-3p"	0.317055	1.34675974	0.473858794079599	0.95010119996197	0.00000000202368628607627
"hsa-miR-15b-5p"	156.7157423	78.75147146	74.3953828078608	22.3764592584072	0.0000000020555094131834
"hsa-miR-27b-3p"	915.58788918	1583.97322672	381.404009604175	591.468742249216	0.00000000210791261543389
"hsa-miR-197-3p"	386.49726354	236.3885995	139.316482196416	69.6214268385599	0.00000000241305991038691
"hsa-miR-452-3p"	6.59000832	1.35804816	5.06603801890739	0.925752190001198	0.00000000245400417920627
"hsa-miR-136-5p"	9.02069098	23.77448452	6.66346589384233	13.7964308076603	0.00000000267152779982314
"hsa-miR-340-5p"	18.34817304	7.27022306	10.4967602090934	4.57367994189814	0.00000000291713290254946
"hsa-miR-21-3p"	1392.59992288	455.46359396	860.842335830727	485.223198267205	0.00000000294117578146723
"hsa-miR-138-1-3p"	0.16221906	1.17841804	0.511425617357008	0.939064577620838	0.00000000298655990334091
"hsa-miR-154-5p"	1.07718258	4.2501678	1.06779978376282	3.06895690369533	0.00000000345382539671931
"hsa-let-7e-3p"	13.79452804	22.86279418	6.94974398686259	7.04535918842192	0.00000000371271313745397
"hsa-miR-142-5p"	74.03106076	19.24580066	53.4182078071619	17.1998693447003	0.00000000393156619972127
"hsa-miR-155-5p"	743.984908	53.26670086	684.010154453562	40.4534875273649	0.00000000405411968198818
"hsa-miR-484"	104.71721846	57.25299308	45.079201149077	22.02654986539	0.00000000430561745477103
"hsa-miR-196b-5p"	2317.62916408	710.91986322	1601.53296542389	292.514435996392	0.00000000522503777655645
"hsa-miR-369-5p"	0.37538102	3.9546874	0.498618972746193	3.57590864146328	0.00000000529749238766215
"hsa-miR-423-3p"	113.16106922	74.90700574	36.747424944641	17.4022559275988	0.00000000535542803559633
"hsa-miR-15b-3p"	13.8030771	5.58172436	8.04242784879361	3.1144243533248	0.00000000551255840163489
"hsa-miR-34a-5p"	254.05105948	119.22727412	129.710411626222	64.6739633164053	0.00000000659833812971937
"hsa-miR-3065-3p"	19.8054443	53.23480302	18.6916588647822	31.3056492522024	0.00000000685266352983495
"hsa-miR-185-5p"	51.0540982	23.34521	27.6791594933282	8.42420492676281	0.00000000707273703172822
"hsa-miR-331-3p"	33.96632566	20.11159328	11.6984896456057	10.1080381914296	0.00000000759898256436677
"hsa-miR-532-3p"	67.83313006	161.5540454	76.0421138766304	72.5259842031597	0.00000000829223982666347
"hsa-miR-130b-5p"	9.01721178	3.82428754	5.16042990352637	2.11457951329463	0.00000000935015952897706
"hsa-miR-193a-3p"	11.5105799	5.80634946	5.69203009498648	2.25363706922936	0.00000000975396008805637
"hsa-miR-28-5p"	94.97761692	63.3257168	28.945530525213	20.4865059921391	0.0000000107899065689229
"hsa-miR-30b-3p"	3.99531952	9.22711944	4.52627299939124	3.87672784303789	0.0000000137676573772278
"hsa-miR-502-5p"	0.42928826	1.57727506	0.414616996686064	1.16874606772157	0.0000000137740293433164
"hsa-miR-200c-5p"	0.143951	3.73999228	0.451842920715433	3.81517946739787	0.0000000229668403019182
"hsa-miR-500a-5p"	4.5347753	11.98366394	3.64554567924868	7.66758468363522	0.0000000339697365308519
"hsa-miR-500b-5p"	4.53185632	11.98370784	3.64358485630868	7.67465003482371	0.0000000342742580170138
"hsa-miR-3065-5p"	1.53824542	4.94669188	1.64027265198374	3.543489888831	0.0000000403873464739152
"hsa-miR-376a-5p"	0.25542344	1.25079838	0.360391317188163	1.0651856526329	0.0000000449864464550783
"hsa-miR-3928-3p"	2.04567598	0.96575892	1.08052328207963	0.660957700963143	0.0000000465535690033754
"hsa-miR-181a-2-3p"	876.42469186	540.8360119	327.826223076731	224.696797881906	0.0000000505584188784697
"hsa-miR-454-3p"	9.79110864	5.69423776	4.04706486864718	2.66799712034672	0.0000000520895091676728
"hsa-let-7i-3p"	94.503149	49.39905354	47.1249392597059	24.9095149795964	0.0000000709536961090124
"hsa-miR-590-5p"	14.75005668	7.98578726	7.35138679908471	2.96311701105899	0.0000000863457923644282
"hsa-miR-18a-3p"	1.03838002	0.35888258	0.690792037693985	0.445125885603809	0.0000000937475734046567
"hsa-miR-214-5p"	5.30401992	11.86479254	4.50730968382514	6.59532300535097	0.000000102704892534584
"hsa-miR-136-3p"	1.70534952	4.22809952	1.34617006800174	2.70339305503097	0.000000106527986864966
"hsa-miR-203a"	372.76688742	1234.87493506	336.77676501769	955.897411706496	0.000000110444817973888
"hsa-miR-501-5p"	2.91524372	6.75100854	1.84947049762191	4.22167951836281	0.000000139765236981868
"hsa-miR-204-5p"	423.9934163	1037.0798505	364.559404182445	656.0947700088	0.000000155556868870239
"hsa-miR-17-5p"	267.58484976	186.4920444	83.9334933608933	57.2955869743194	0.000000208001810943555
"hsa-miR-1249"	2.24040666	0.9256835	1.45263001843774	0.738072780380459	0.000000234753715010911
"hsa-miR-374b-3p"	2.1871617	1.26046962	0.925471881037557	0.727719883001523	0.000000251327608177933
"hsa-miR-218-1-3p"	0.2946028	1.39432842	0.398840824280892	1.28834932438816	0.000000325697495436737
"hsa-miR-376c-3p"	1.00596344	3.50655992	1.23045040729274	2.86766106998401	0.000000340653007634658
"hsa-miR-374a-5p"	27.79478008	18.33967578	10.5397131808883	5.66994951168935	0.000000353287932866977
"hsa-miR-590-3p"	5.35665028	2.59358334	3.20539334374326	1.42056429585498	0.00000047408838515989
"hsa-miR-335-5p"	5.7356046	14.67152596	7.38508229917732	9.06989605103588	0.000000493388381811044
"hsa-miR-155-3p"	1.33886772	0.0471442	1.58036453014217	0.114815491346165	0.000000522172926365127
"hsa-miR-942-5p"	3.6382669	1.75656664	2.21097597487493	0.903379442457242	0.000000522927220157136
"hsa-miR-127-3p"	111.37023868	245.19846812	83.1780539758718	153.201971834322	0.000000661942111971691
"hsa-miR-892a"	0.07215878	0.92434314	0.438454086304314	1.01043613031401	0.000000722997169910823
"hsa-miR-3678-5p"	0.6502595	0.17127856	0.572907475153845	0.23521982369214	0.00000077250354366479
"hsa-miR-3677-3p"	4.148243	1.7796372	2.88479952237046	0.933145849401094	0.000000780317938129669
"hsa-miR-411-5p"	1.3967092	3.67447364	1.28825681467729	2.68285042221202	0.000000814400626841532
"hsa-miR-99b-3p"	50.66374892	38.25007264	13.4815641699899	9.65148942769139	0.00000085723589219451
"hsa-miR-330-3p"	2.08538294	1.12979364	1.0951873422601	0.666411207594027	0.00000110373638863608
"hsa-miR-33a-5p"	6.50340602	22.89381102	5.93540635445102	20.5953250508004	0.00000130928359324709
"hsa-miR-146a-5p"	91.55853064	41.0811608	61.923183174428	26.8830257452015	0.00000147056119364326
"hsa-miR-891b"	0.00803768	0.55007296	0.0568349803300749	0.7017650485385	0.00000160812240800478
"hsa-miR-320a"	581.32427112	391.0146147	232.292184542427	112.057095904858	0.00000173375593094788
"hsa-miR-224-3p"	4.4919382	1.58414594	3.7016248509394	1.1083271767981	0.00000175429143491954
"hsa-miR-891a-5p"	7.5458643	58.84727324	39.0647071147151	59.3256722780863	0.00000198654668309731
"hsa-miR-143-5p"	138.84213128	81.27566744	61.4729839849336	52.3861756540275	0.00000220190441378756
"hsa-miR-130b-3p"	5.78699376	2.50934802	4.14651589120799	1.63647439667482	0.00000224589056893709
"hsa-miR-616-5p"	4.56737302	1.69480586	3.75530132243791	0.883760768808909	0.00000244838473945478
"hsa-miR-1228-5p"	0.7136436	0.11539898	0.785397596193684	0.169744285321557	0.00000253863715530827
"hsa-miR-503-5p"	94.8629527	30.64535374	85.096809087207	18.6957949567905	0.00000304732558375036
"hsa-miR-151a-5p"	101.3558924	71.0705949	39.4853124292349	13.9463396257864	0.00000336991028492489
"hsa-miR-455-5p"	52.02955226	30.15873778	27.9953817592197	12.1347881179145	0.00000339789835444738
"hsa-miR-3615"	2.0588904	0.76500678	1.6029637290774	0.877453596464579	0.0000034970057279963
"hsa-miR-1251-5p"	9.3655495	33.0044343	12.0497572048074	30.7059314679459	0.00000370161549437057
"hsa-miR-122-5p"	27.9014477	0.22154638	37.717902851858	0.330530363337402	0.00000403164652433323
"hsa-miR-149-5p"	10.3251443	26.34862026	11.6067262810125	19.8802701281823	0.00000460139471123078
"hsa-miR-16-2-3p"	5.14274926	2.64303734	3.18003337925002	1.62530151998611	0.00000463953903437852
"hsa-miR-1301-3p"	13.4152327	8.30215428	6.69010812007382	2.80177447248986	0.00000479254511378207
"hsa-miR-1228-3p"	0.54635908	0.13564358	0.541773637391486	0.222175310371006	0.00000535022520481814
"hsa-miR-2277-5p"	2.34861256	0.42261024	2.65328984880743	0.378296622987433	0.00000538613240562331
"hsa-miR-363-3p"	10.3752621	37.04837278	22.672302029613	31.7461493944767	0.00000556537873146831
"hsa-miR-125a-5p"	1074.48304358	1395.04345914	328.329773712337	343.444706010745	0.00000641999380976649
"hsa-miR-29a-3p"	4643.4233648	6791.4808925	1850.4985218199	2574.52133156727	0.00000660243347395156
"hsa-let-7g-5p"	695.0828253	932.09109586	274.038954821001	221.359335290166	0.00000708573190711327
"hsa-miR-140-5p"	94.77259112	69.40829226	25.616502637419	28.281197511881	0.00000858046944056961
"hsa-miR-3170"	6.3728752	2.76449904	5.02915436162032	1.57535366141064	0.00000979864894252372
"hsa-miR-625-3p"	121.43367848	41.31784326	115.047999023253	17.1568975709024	0.0000111392481823177
"hsa-miR-589-5p"	35.89499104	24.134179	15.2278926603909	9.20462588111304	0.0000117026211778634
"hsa-miR-27a-3p"	845.5811211	569.0251901	320.880767261511	277.73706681134	0.0000125024760552825
"hsa-miR-181d-5p"	9.8388364	5.29592488	6.31115590441996	2.49623652173203	0.0000126583450023001
"hsa-miR-93-3p"	9.18610004	6.2648722	3.47186124394558	2.86399917521874	0.0000136411420708105
"hsa-miR-1277-3p"	2.04716868	1.05565184	1.34668192117016	0.665601282715796	0.0000138593795821333
"hsa-miR-150-3p"	1.91041528	0.80025206	1.44967153431599	0.890290609684171	0.0000145204335941953
"hsa-miR-497-3p"	1.4938244	0.46089074	1.48616684842906	0.439980313412827	0.000015944892266155
"hsa-miR-539-5p"	2.82539516	7.49932664	2.89304415370974	6.55542096481858	0.00001832927169481
"hsa-miR-377-5p"	0.2845826	0.90240574	0.490018841822205	0.824041100501193	0.0000184568207269614
"hsa-miR-34a-3p"	0.8868659	0.33591138	0.759693251104204	0.392813017808462	0.0000203693950188737
"hsa-miR-3912-3p"	1.05975296	0.45729676	0.837751650173783	0.418836313268354	0.0000213719496916524
"hsa-miR-2277-3p"	0.56881076	0.15140002	0.607472908520696	0.203548227865545	0.0000218678275778811
"hsa-miR-338-3p"	381.50801348	235.23573998	148.660754576126	177.760003870005	0.0000221746832883293
"hsa-let-7e-5p"	1511.28275342	2006.90220784	536.482751034954	576.849602981563	0.0000229427370808483
"hsa-miR-3191-3p"	0.46083304	0.04115	0.630408340943634	0.126856145864325	0.0000253608213080852
"hsa-miR-581"	1.04145572	0.50894492	0.714902272021992	0.452449061033793	0.0000264806846768605
"hsa-miR-323a-3p"	0.88134696	3.47559804	1.06572545587616	3.86600224952587	0.0000266348614080017
"hsa-miR-769-5p"	11.17589464	8.11541844	3.98782176093607	2.83252043090615	0.0000274920115706925
"hsa-miR-760"	1.3087935	0.22440162	1.63591210373356	0.344832447741247	0.0000276710485380415
"hsa-miR-337-3p"	11.24818952	22.25802506	9.27361365172992	15.0285817144245	0.0000314572523298816
"hsa-miR-937-3p"	0.68263582	0.22023476	0.686210074152601	0.258352753132229	0.0000348210004422166
"hsa-miR-323b-3p"	1.6492463	6.81083014	1.7171797854804	7.89588327681899	0.0000348501057554521
"hsa-miR-655-3p"	0.33592228	0.84639154	0.46641127030525	0.686491993546968	0.0000372740363842333
"hsa-miR-934"	0.00576418	1.41288632	0.0328117011642717	2.19458532513297	0.0000375008849871608
"hsa-miR-3614-3p"	0.3894917	0.0920679	0.446053983941555	0.158660068892039	0.0000380040564386385
"hsa-miR-32-3p"	0.5320478	1.09200252	0.371850232874056	0.819392992580215	0.0000388488671047996
"hsa-miR-148a-3p"	33351.1713522	16836.3050464	25678.7502140727	3454.01972528276	0.0000389056975539292
"hsa-miR-654-3p"	4.12982994	10.27983512	4.46608407698932	8.92280699681175	0.000042735959071963
"hsa-miR-299-5p"	0.37872876	1.11971214	0.432769495950261	1.11206465779879	0.0000436150748835413
"hsa-miR-216b-5p"	0.11174008	3.2757507	0.328038453557011	5.00315642572417	0.0000469615489341324
"hsa-miR-19b-1-5p"	4.17261866	2.68087276	2.14488193290884	1.16837467223808	0.0000470005325580137
"hsa-miR-188-3p"	2.80869122	6.17276342	4.26243752745922	3.62647790255271	0.000049623831937953
"hsa-miR-130a-3p"	88.64480626	129.40377302	40.3274860430563	54.4224515719801	0.0000509721244398833
"hsa-miR-487b-3p"	1.25961164	3.18089168	1.31317301286296	2.85919415377227	0.0000518109014723012
"hsa-miR-504-5p"	0.91516294	1.8262919	0.744712565419745	1.30738702938806	0.0000524034085925032
"hsa-miR-892b"	0.01021084	0.1644597	0.0722015420561085	0.239477622269487	0.0000540010206972831
"hsa-miR-215-5p"	88.93703988	30.77838588	90.5613449742037	26.9736669786816	0.0000558436862926917
"hsa-miR-1287-5p"	14.32696524	9.44122094	7.2900601756955	3.43761658909342	0.0000571584716507431
"hsa-miR-362-3p"	1.61694254	3.5521793	1.47520276958126	2.8436781155459	0.0000572406055161859
"hsa-miR-485-3p"	1.26282796	3.3147273	1.05978879617118	3.21243315772716	0.0000667687899651284
"hsa-miR-223-3p"	105.38077626	54.27501676	74.3626995945011	44.998954034507	0.0000796576398849185
"hsa-miR-455-3p"	862.19441012	505.8875174	552.848511710866	243.587304994952	0.000088926726958011
"hsa-miR-3614-5p"	0.47726608	0.1310997	0.54926659016405	0.211604681021605	0.000098308518579099
"hsa-miR-185-3p"	2.83801218	1.23176136	2.62760956937597	0.732015280811473	0.000107879315196865
"hsa-miR-888-5p"	0.04418568	0.55489304	0.289290447292036	0.825807050202455	0.000113545525487169
"hsa-miR-146b-5p"	730.25852938	207.75368136	880.43881065878	164.077706571728	0.000132859776886945
"hsa-miR-1296-5p"	3.74137926	6.18365758	3.23502679313211	2.89669708508579	0.00013465627971994
"hsa-miR-376b-3p"	0.17036538	0.7005214	0.305482019115785	0.867784773951562	0.000135262338787131
"hsa-miR-195-3p"	5.31219746	2.85500654	3.96844451784398	1.63562274207224	0.000139600383129912
"hsa-miR-224-5p"	40.229229	4.40800906	61.2685073198763	4.69594408822473	0.000142595800326086
"hsa-miR-135b-5p"	8.37508904	16.3329493	6.81850643003512	12.4057956343375	0.000158793522694903
"hsa-miR-3934-5p"	0.41386154	0.09262676	0.53506671569823	0.179106967615304	0.000162229087022946
"hsa-miR-935"	1.3768588	0.38105166	1.66675294865037	0.523666461848146	0.000162815920874309
"hsa-miR-1304-5p"	0.32869824	0.0771973	0.414431567777446	0.157964187464619	0.00016372696715783
"hsa-miR-873-5p"	0.07937374	0.37277108	0.187718136762172	0.482963148061023	0.000165826604804727
"hsa-miR-127-5p"	73.43500992	134.7571654	60.2155991871319	92.1438095474118	0.000167715531369814
"hsa-miR-365a-3p"	52.83046888	30.3418314	37.4734298882986	12.9082104901426	0.000168169151614101
"hsa-miR-3200-3p"	1.59087506	2.55057266	1.36930738605302	1.07376874910405	0.000182030204467714
"hsa-miR-130a-5p"	0.84607264	1.39726388	0.692220931290881	0.725018104228809	0.000184144117262595
"hsa-miR-150-5p"	568.17439488	276.16379662	462.020400254091	251.926867951538	0.000190266316507875
"hsa-miR-758-3p"	1.99193764	4.0556994	1.81251259270772	3.25640899675433	0.000194013734502815
"hsa-miR-223-5p"	4.66250086	2.16739266	3.74401535733657	2.57763790792566	0.000201732431980447
"hsa-miR-148a-5p"	12.91103292	7.5105395	9.36612353019136	2.1718437227205	0.000211827335015186
"hsa-miR-493-3p"	1.00168778	2.0906443	1.07766058398933	1.68614121988297	0.000232549485786165
"hsa-miR-423-5p"	67.67109308	53.64358688	21.9444433669712	13.4748331662944	0.000232770744222493
"hsa-miR-345-5p"	10.21751348	17.99348978	6.76963771897275	12.5221009993504	0.000235415786083837
"hsa-miR-3940-3p"	0.49722694	0.17240608	0.521024243656172	0.292178616849131	0.000246561425372975
"hsa-miR-19a-3p"	13.99180752	9.81835266	5.9393640137794	5.07514540257384	0.000275254746834896
"hsa-miR-144-5p"	237.13152612	99.05838554	237.983719039064	86.974284020662	0.000279600954412357
"hsa-let-7f-1-3p"	2.12410492	1.37528642	1.04745409534144	0.940954096093723	0.000290138598352025
"hsa-miR-708-3p"	54.51198792	28.66322712	45.5957989719908	13.687362232815	0.000308495253588857
"hsa-miR-299-3p"	0.05650192	0.21316346	0.135941165359653	0.259204035709025	0.000310057869430052
"hsa-miR-181c-5p"	22.90530062	14.70028006	14.3203026081153	5.10521377083911	0.000318011215410917
"hsa-miR-152-3p"	240.16954966	181.2641951	101.894454774678	39.8724804000724	0.00031897106487073
"hsa-miR-23b-3p"	1256.33517548	1597.22666332	568.697281914032	292.06041769152	0.00032785018769741
"hsa-miR-181c-3p"	19.50001714	13.59289174	9.90559735713926	5.10723601527118	0.000352979443222858
"hsa-miR-409-5p"	5.4881983	12.32766214	4.29611036776954	12.1090384775318	0.000377414652607805
"hsa-miR-618"	1.41686522	0.56958106	1.52539732868356	0.521885966649155	0.000444719254458294
"hsa-miR-653-5p"	115.63959624	44.92238068	132.186745156324	21.4620332528928	0.000471664321517725
"hsa-miR-122-3p"	0.25794896	0	0.487046286820913	0	0.000475051444972143
"hsa-miR-133b"	0.44683348	1.398011	0.937034536273381	1.59638705119305	0.000494977164144271
"hsa-miR-508-5p"	0.35285758	9.96089864	0.594152933906411	18.2146303342646	0.000499846167142559
"hsa-miR-146b-3p"	120.69015716	30.2958971	171.806833935022	17.6108839533117	0.000535233658154115
"hsa-miR-3920"	0.26818394	0.0697077	0.352138874124586	0.158961374424572	0.000539087192674789
"hsa-miR-548e-3p"	0.38665	0.13258746	0.455396257820257	0.190849884633501	0.000540778947896181
"hsa-miR-514b-3p"	0	0.16007428	0	0.305757443803527	0.000542443628657789
"hsa-miR-30c-1-3p"	1.41209518	2.26063848	1.30037164321473	1.07198402699555	0.000581802906246938
"hsa-miR-23b-5p"	0.9510274	1.64759384	0.817294400875329	1.12797567508336	0.000646291312398228
"hsa-miR-616-3p"	1.69584658	0.66688366	1.9439613581175	0.554668502021854	0.000669867275836554
"hsa-miR-1295a"	0.97419584	0.24624712	1.38486006510341	0.360696832594153	0.00068497315664727
"hsa-miR-381-3p"	7.03326388	11.56362842	6.31883336558345	6.62801270504149	0.00070657956647232
"hsa-miR-217"	32.41153922	137.43316866	74.9149234125211	195.461279196422	0.000739732244670455
"hsa-miR-216a-5p"	0.71010266	2.58338458	1.75741040322859	3.34237282267276	0.000771449240532253
"hsa-miR-20a-5p"	142.1409195	104.29671184	61.9924132646802	45.6669344143516	0.000786556704846556
"hsa-miR-424-5p"	811.0371353	414.0174269	771.320914355965	170.442452431857	0.000799765595568553
"hsa-miR-3605-3p"	9.25045286	6.53770374	4.58436406510307	3.07069367690372	0.000800565433249886
"hsa-miR-331-5p"	1.95679098	1.28391842	1.03411449126563	0.922724564431571	0.000879994897864245
"hsa-miR-885-5p"	22.8955788	1.07119306	43.6212832515468	1.96894737356545	0.000901212998244207
"hsa-miR-138-2-3p"	0.0562157	0.20414282	0.142259540747192	0.267535103339897	0.000919332534792307
"hsa-miR-26b-3p"	38.52476864	30.63408624	13.0805911403545	9.70506087649425	0.000924447242883963
"hsa-miR-365a-5p"	0.61689074	0.26566212	0.645323981540923	0.318745438742852	0.000942051996450404
"hsa-miR-1250-5p"	0.11238826	0.0117382	0.195844147294585	0.0589227574153533	0.000960873870937471
"hsa-miR-2114-3p"	1.24153326	0.31481278	1.8438020882594	0.354407194545028	0.000985359153846572
"hsa-miR-495-3p"	2.40692234	4.49100724	2.13286343677923	3.7755664076139	0.00107368562134535
